timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743207348074,96,14 Register Request,201,Created,User Thread Group 1-1,text,true,,263,298,18,18,http://localhost:4000/authentication/register,96,0,46
1743207348073,97,14 Register Request,201,Created,User Thread Group 1-4,text,true,,263,275,18,18,http://localhost:4000/authentication/register,97,0,46
1743207348073,98,14 Register Request,201,Created,User Thread Group 1-5,text,true,,263,278,18,18,http://localhost:4000/authentication/register,98,0,47
1743207348072,98,14 Register Request,201,Created,User Thread Group 1-2,text,true,,263,288,18,18,http://localhost:4000/authentication/register,98,0,47
1743207348140,31,14 Register Request,201,Created,User Thread Group 1-7,text,true,,263,274,18,18,http://localhost:4000/authentication/register,31,0,1
1743207348096,75,14 Register Request,201,Created,User Thread Group 1-6,text,true,,263,275,18,18,http://localhost:4000/authentication/register,75,0,24
1743207348186,9,14 Register Request,201,Created,User Thread Group 1-8,text,true,,263,296,19,19,http://localhost:4000/authentication/register,9,0,1
1743207348074,97,14 Register Request,201,Created,User Thread Group 1-3,text,true,,263,282,18,18,http://localhost:4000/authentication/register,96,0,45
1743207348231,12,14 Register Request,201,Created,User Thread Group 1-9,text,true,,263,276,20,20,http://localhost:4000/authentication/register,12,0,3
1743207348276,13,14 Register Request,201,Created,User Thread Group 1-10,text,true,,263,269,21,21,http://localhost:4000/authentication/register,13,0,4
1743207348322,13,14 Register Request,201,Created,User Thread Group 1-11,text,true,,263,283,22,22,http://localhost:4000/authentication/register,13,0,1
1743207348365,13,14 Register Request,201,Created,User Thread Group 1-12,text,true,,263,295,23,23,http://localhost:4000/authentication/register,13,0,2
1743207348410,10,14 Register Request,201,Created,User Thread Group 1-13,text,true,,263,268,24,24,http://localhost:4000/authentication/register,10,0,1
1743207348457,18,14 Register Request,201,Created,User Thread Group 1-14,text,true,,263,290,25,25,http://localhost:4000/authentication/register,18,0,1
1743207348500,11,14 Register Request,201,Created,User Thread Group 1-15,text,true,,263,297,26,26,http://localhost:4000/authentication/register,11,0,1
1743207348546,16,14 Register Request,201,Created,User Thread Group 1-16,text,true,,263,296,27,27,http://localhost:4000/authentication/register,16,0,2
1743207348590,9,14 Register Request,201,Created,User Thread Group 1-17,text,true,,263,297,28,28,http://localhost:4000/authentication/register,9,0,1
1743207348641,22,14 Register Request,201,Created,User Thread Group 1-18,text,true,,263,293,29,29,http://localhost:4000/authentication/register,22,0,2
1743207348681,12,14 Register Request,201,Created,User Thread Group 1-19,text,true,,263,284,30,30,http://localhost:4000/authentication/register,12,0,2
1743207348725,14,14 Register Request,201,Created,User Thread Group 1-20,text,true,,263,287,31,31,http://localhost:4000/authentication/register,14,0,1
1743207348728,30,15 Login Request,200,OK,User Thread Group 1-3,text,true,,504,252,31,31,http://localhost:4000/authentication/login,30,0,0
1743207348728,34,15 Login Request,200,OK,User Thread Group 1-1,text,true,,511,269,32,32,http://localhost:4000/authentication/login,34,0,0
1743207348728,39,15 Login Request,200,OK,User Thread Group 1-4,text,true,,504,250,32,32,http://localhost:4000/authentication/login,39,0,0
1743207348729,40,15 Login Request,200,OK,User Thread Group 1-5,text,true,,512,251,32,32,http://localhost:4000/authentication/login,40,0,0
1743207348729,43,15 Login Request,200,OK,User Thread Group 1-7,text,true,,505,247,32,32,http://localhost:4000/authentication/login,43,0,0
1743207348729,49,15 Login Request,200,OK,User Thread Group 1-2,text,true,,511,264,32,32,http://localhost:4000/authentication/login,49,0,0
1743207348730,50,15 Login Request,200,OK,User Thread Group 1-6,text,true,,503,250,32,32,http://localhost:4000/authentication/login,50,0,0
1743207348771,10,14 Register Request,201,Created,User Thread Group 1-21,text,true,,263,278,32,32,http://localhost:4000/authentication/register,10,0,1
1743207348732,49,15 Login Request,200,OK,User Thread Group 1-8,text,true,,512,268,32,32,http://localhost:4000/authentication/login,49,0,0
1743207348745,38,15 Login Request,200,OK,User Thread Group 1-9,text,true,,500,245,32,32,http://localhost:4000/authentication/login,38,0,0
1743207348793,6,15 Login Request,200,OK,User Thread Group 1-10,text,true,,495,243,32,32,http://localhost:4000/authentication/login,6,0,0
1743207348816,13,14 Register Request,201,Created,User Thread Group 1-22,text,true,,263,273,33,33,http://localhost:4000/authentication/register,13,0,1
1743207348837,6,15 Login Request,200,OK,User Thread Group 1-11,text,true,,501,261,33,33,http://localhost:4000/authentication/login,6,0,0
1743207348864,8,14 Register Request,201,Created,User Thread Group 1-23,text,true,,263,286,34,34,http://localhost:4000/authentication/register,8,0,1
1743207348879,28,15 Login Request,200,OK,User Thread Group 1-12,text,true,,507,265,35,35,http://localhost:4000/authentication/login,28,0,0
1743207348905,11,14 Register Request,201,Created,User Thread Group 1-24,text,true,,263,290,35,35,http://localhost:4000/authentication/register,11,0,3
1743207348922,8,15 Login Request,200,OK,User Thread Group 1-13,text,true,,501,242,35,35,http://localhost:4000/authentication/login,8,0,0
1743207348950,10,14 Register Request,201,Created,User Thread Group 1-25,text,true,,263,301,36,36,http://localhost:4000/authentication/register,9,0,2
1743207348976,8,15 Login Request,200,OK,User Thread Group 1-14,text,true,,512,265,36,36,http://localhost:4000/authentication/login,7,0,0
1743207348995,13,14 Register Request,201,Created,User Thread Group 1-26,text,true,,263,291,37,37,http://localhost:4000/authentication/register,13,0,1
1743207349013,8,15 Login Request,200,OK,User Thread Group 1-15,text,true,,505,265,37,37,http://localhost:4000/authentication/login,8,0,0
1743207349041,7,14 Register Request,201,Created,User Thread Group 1-27,text,true,,263,286,38,38,http://localhost:4000/authentication/register,7,0,0
1743207349064,8,15 Login Request,200,OK,User Thread Group 1-16,text,true,,512,270,38,38,http://localhost:4000/authentication/login,8,0,0
1743207349086,8,14 Register Request,201,Created,User Thread Group 1-28,text,true,,263,281,39,39,http://localhost:4000/authentication/register,8,0,1
1743207349101,7,15 Login Request,200,OK,User Thread Group 1-17,text,true,,507,266,39,39,http://localhost:4000/authentication/login,7,0,0
1743207349130,9,14 Register Request,201,Created,User Thread Group 1-29,text,true,,263,287,40,40,http://localhost:4000/authentication/register,9,0,1
1743207349165,12,15 Login Request,200,OK,User Thread Group 1-18,text,true,,512,266,41,41,http://localhost:4000/authentication/login,12,0,0
1743207349176,9,14 Register Request,201,Created,User Thread Group 1-30,text,true,,263,272,41,41,http://localhost:4000/authentication/register,9,0,1
1743207349195,10,15 Login Request,200,OK,User Thread Group 1-19,text,true,,512,257,41,41,http://localhost:4000/authentication/login,10,0,0
1743207349220,14,14 Register Request,201,Created,User Thread Group 1-31,text,true,,263,293,42,42,http://localhost:4000/authentication/register,14,0,2
1743207349240,9,15 Login Request,200,OK,User Thread Group 1-20,text,true,,501,259,42,42,http://localhost:4000/authentication/login,9,0,0
1743207349265,15,14 Register Request,201,Created,User Thread Group 1-32,text,true,,263,275,43,43,http://localhost:4000/authentication/register,15,0,1
1743207349262,21,16 Get Stock Prices Request,200,OK,User Thread Group 1-3,text,true,,455,407,43,43,http://localhost:4000/transaction/getStockPrices,21,0,0
1743207349264,24,16 Get Stock Prices Request,200,OK,User Thread Group 1-1,text,true,,455,414,43,43,http://localhost:4000/transaction/getStockPrices,24,0,0
1743207349283,8,15 Login Request,200,OK,User Thread Group 1-21,text,true,,509,252,43,43,http://localhost:4000/authentication/login,8,0,0
1743207349271,20,16 Get Stock Prices Request,200,OK,User Thread Group 1-5,text,true,,455,415,43,43,http://localhost:4000/transaction/getStockPrices,20,0,0
1743207349270,23,16 Get Stock Prices Request,200,OK,User Thread Group 1-4,text,true,,455,407,43,43,http://localhost:4000/transaction/getStockPrices,23,0,0
1743207349275,20,16 Get Stock Prices Request,200,OK,User Thread Group 1-7,text,true,,455,408,43,43,http://localhost:4000/transaction/getStockPrices,20,0,0
1743207349280,16,16 Get Stock Prices Request,200,OK,User Thread Group 1-2,text,true,,455,414,43,43,http://localhost:4000/transaction/getStockPrices,16,0,0
1743207349284,18,16 Get Stock Prices Request,200,OK,User Thread Group 1-8,text,true,,455,415,43,43,http://localhost:4000/transaction/getStockPrices,18,0,0
1743207349281,24,16 Get Stock Prices Request,200,OK,User Thread Group 1-6,text,true,,455,406,44,44,http://localhost:4000/transaction/getStockPrices,24,0,0
1743207349284,22,16 Get Stock Prices Request,200,OK,User Thread Group 1-9,text,true,,455,403,44,44,http://localhost:4000/transaction/getStockPrices,21,0,0
1743207349301,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-10,text,true,,455,399,44,44,http://localhost:4000/transaction/getStockPrices,9,0,0
1743207349311,10,14 Register Request,201,Created,User Thread Group 1-33,text,true,,263,280,44,44,http://localhost:4000/authentication/register,10,0,3
1743207349333,6,15 Login Request,200,OK,User Thread Group 1-22,text,true,,505,245,44,44,http://localhost:4000/authentication/login,6,0,0
1743207349345,5,16 Get Stock Prices Request,200,OK,User Thread Group 1-11,text,true,,455,404,45,45,http://localhost:4000/transaction/getStockPrices,5,0,0
1743207349353,10,14 Register Request,201,Created,User Thread Group 1-34,text,true,,263,270,45,45,http://localhost:4000/authentication/register,10,0,1
1743207349373,7,15 Login Request,200,OK,User Thread Group 1-23,text,true,,500,261,45,45,http://localhost:4000/authentication/login,7,0,0
1743207349399,12,14 Register Request,201,Created,User Thread Group 1-35,text,true,,263,280,46,46,http://localhost:4000/authentication/register,11,0,1
1743207349408,13,16 Get Stock Prices Request,200,OK,User Thread Group 1-12,text,true,,455,410,46,46,http://localhost:4000/transaction/getStockPrices,13,0,0
1743207349417,6,15 Login Request,200,OK,User Thread Group 1-24,text,true,,509,259,46,46,http://localhost:4000/authentication/login,6,0,0
1743207349432,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-13,text,true,,455,404,47,47,http://localhost:4000/transaction/getStockPrices,9,0,0
1743207349446,6,14 Register Request,201,Created,User Thread Group 1-36,text,true,,263,278,47,47,http://localhost:4000/authentication/register,6,0,1
1743207349462,5,15 Login Request,200,OK,User Thread Group 1-25,text,true,,512,270,47,47,http://localhost:4000/authentication/login,5,0,0
1743207349485,8,16 Get Stock Prices Request,200,OK,User Thread Group 1-14,text,true,,455,415,48,48,http://localhost:4000/transaction/getStockPrices,8,0,0
1743207349490,11,14 Register Request,201,Created,User Thread Group 1-37,text,true,,263,291,48,48,http://localhost:4000/authentication/register,11,0,1
1743207349510,6,15 Login Request,200,OK,User Thread Group 1-26,text,true,,508,265,48,48,http://localhost:4000/authentication/login,6,0,0
1743207349523,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-15,text,true,,455,408,49,49,http://localhost:4000/transaction/getStockPrices,6,0,0
1743207349534,8,14 Register Request,201,Created,User Thread Group 1-38,text,true,,263,280,49,49,http://localhost:4000/authentication/register,8,0,1
1743207349549,30,15 Login Request,200,OK,User Thread Group 1-27,text,true,,504,260,50,50,http://localhost:4000/authentication/login,30,0,0
1743207349582,9,14 Register Request,201,Created,User Thread Group 1-39,text,true,,263,284,50,50,http://localhost:4000/authentication/register,9,0,0
1743207349574,21,16 Get Stock Prices Request,200,OK,User Thread Group 1-16,text,true,,455,415,50,50,http://localhost:4000/transaction/getStockPrices,21,0,0
1743207349595,10,15 Login Request,200,OK,User Thread Group 1-28,text,true,,512,250,50,50,http://localhost:4000/authentication/login,10,0,0
1743207349609,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-17,text,true,,455,410,50,50,http://localhost:4000/transaction/getStockPrices,6,0,0
1743207349626,13,14 Register Request,201,Created,User Thread Group 1-40,text,true,,263,266,51,51,http://localhost:4000/authentication/register,13,0,1
1743207349640,8,15 Login Request,200,OK,User Thread Group 1-29,text,true,,508,259,51,51,http://localhost:4000/authentication/login,8,0,0
1743207349670,8,14 Register Request,201,Created,User Thread Group 1-41,text,true,,263,296,52,52,http://localhost:4000/authentication/register,8,0,1
1743207349681,11,16 Get Stock Prices Request,200,OK,User Thread Group 1-18,text,true,,455,415,52,52,http://localhost:4000/transaction/getStockPrices,11,0,0
1743207349686,6,15 Login Request,200,OK,User Thread Group 1-30,text,true,,503,244,52,52,http://localhost:4000/authentication/login,5,0,0
1743207349707,8,16 Get Stock Prices Request,200,OK,User Thread Group 1-19,text,true,,455,415,53,53,http://localhost:4000/transaction/getStockPrices,8,0,0
1743207349714,10,14 Register Request,201,Created,User Thread Group 1-42,text,true,,263,285,53,53,http://localhost:4000/authentication/register,10,0,1
1743207349735,10,15 Login Request,200,OK,User Thread Group 1-31,text,true,,512,264,53,53,http://localhost:4000/authentication/login,10,0,0
1743207349751,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-20,text,true,,455,404,54,54,http://localhost:4000/transaction/getStockPrices,7,0,0
1743207349760,21,14 Register Request,201,Created,User Thread Group 1-43,text,true,,263,279,54,54,http://localhost:4000/authentication/register,21,0,1
1743207349782,9,15 Login Request,200,OK,User Thread Group 1-32,text,true,,504,244,54,54,http://localhost:4000/authentication/login,9,0,0
1743207349805,12,14 Register Request,201,Created,User Thread Group 1-44,text,true,,263,291,55,55,http://localhost:4000/authentication/register,12,0,0
1743207349822,5,15 Login Request,200,OK,User Thread Group 1-33,text,true,,495,253,55,55,http://localhost:4000/authentication/login,5,0,0
1743207349849,10,14 Register Request,201,Created,User Thread Group 1-45,text,true,,263,285,56,56,http://localhost:4000/authentication/register,10,0,1
1743207349865,18,15 Login Request,200,OK,User Thread Group 1-34,text,true,,501,244,56,56,http://localhost:4000/authentication/login,18,0,0
1743207349895,14,14 Register Request,201,Created,User Thread Group 1-46,text,true,,263,273,57,57,http://localhost:4000/authentication/register,14,0,1
1743207349792,117,17 Add Money Request,200,OK,User Thread Group 1-1,text,true,,270,453,57,57,http://localhost:4000/transaction/addMoneyToWallet,117,0,0
1743207349793,118,16 Get Stock Prices Request,200,OK,User Thread Group 1-21,text,true,,455,412,57,57,http://localhost:4000/transaction/getStockPrices,118,0,0
1743207349797,117,17 Add Money Request,200,OK,User Thread Group 1-4,text,true,,270,446,57,57,http://localhost:4000/transaction/addMoneyToWallet,117,0,0
1743207349790,121,17 Add Money Request,200,OK,User Thread Group 1-3,text,true,,270,446,57,57,http://localhost:4000/transaction/addMoneyToWallet,121,0,0
1743207349793,122,17 Add Money Request,200,OK,User Thread Group 1-5,text,true,,270,454,57,57,http://localhost:4000/transaction/addMoneyToWallet,122,0,0
1743207349810,109,17 Add Money Request,200,OK,User Thread Group 1-9,text,true,,270,442,57,57,http://localhost:4000/transaction/addMoneyToWallet,109,0,0
1743207349881,39,16 Get Stock Prices Request,200,OK,User Thread Group 1-23,text,true,,455,403,57,57,http://localhost:4000/transaction/getStockPrices,39,0,0
1743207349797,125,17 Add Money Request,200,OK,User Thread Group 1-7,text,true,,270,447,57,57,http://localhost:4000/transaction/addMoneyToWallet,125,0,0
1743207349799,127,17 Add Money Request,200,OK,User Thread Group 1-2,text,true,,270,453,57,57,http://localhost:4000/transaction/addMoneyToWallet,127,0,0
1743207349804,123,17 Add Money Request,200,OK,User Thread Group 1-8,text,true,,270,454,57,57,http://localhost:4000/transaction/addMoneyToWallet,123,0,0
1743207349922,5,17 Add Money Request,200,OK,User Thread Group 1-12,text,true,,270,449,57,57,http://localhost:4000/transaction/addMoneyToWallet,5,0,0
1743207349807,124,17 Add Money Request,200,OK,User Thread Group 1-6,text,true,,270,445,58,58,http://localhost:4000/transaction/addMoneyToWallet,124,0,0
1743207349812,119,17 Add Money Request,200,OK,User Thread Group 1-10,text,true,,270,438,58,58,http://localhost:4000/transaction/addMoneyToWallet,119,0,0
1743207349913,19,15 Login Request,200,OK,User Thread Group 1-35,text,true,,496,256,58,58,http://localhost:4000/authentication/login,19,0,0
1743207349851,84,17 Add Money Request,200,OK,User Thread Group 1-11,text,true,,270,443,58,58,http://localhost:4000/transaction/addMoneyToWallet,84,0,0
1743207349840,96,16 Get Stock Prices Request,200,OK,User Thread Group 1-22,text,true,,455,408,58,58,http://localhost:4000/transaction/getStockPrices,96,0,0
1743207349925,15,16 Get Stock Prices Request,200,OK,User Thread Group 1-24,text,true,,455,412,58,58,http://localhost:4000/transaction/getStockPrices,15,0,0
1743207349940,8,14 Register Request,201,Created,User Thread Group 1-47,text,true,,263,289,58,58,http://localhost:4000/authentication/register,8,0,0
1743207349944,5,17 Add Money Request,200,OK,User Thread Group 1-13,text,true,,270,443,58,58,http://localhost:4000/transaction/addMoneyToWallet,5,0,0
1743207349953,4,15 Login Request,200,OK,User Thread Group 1-36,text,true,,509,251,58,58,http://localhost:4000/authentication/login,4,0,0
1743207349968,8,16 Get Stock Prices Request,200,OK,User Thread Group 1-25,text,true,,455,415,58,58,http://localhost:4000/transaction/getStockPrices,8,0,0
1743207349984,8,14 Register Request,201,Created,User Thread Group 1-48,text,true,,263,290,59,59,http://localhost:4000/authentication/register,8,0,1
1743207350002,9,15 Login Request,200,OK,User Thread Group 1-37,text,true,,512,267,59,59,http://localhost:4000/authentication/login,9,0,0
1743207349995,19,17 Add Money Request,200,OK,User Thread Group 1-14,text,true,,270,454,59,59,http://localhost:4000/transaction/addMoneyToWallet,19,0,0
1743207350017,5,16 Get Stock Prices Request,200,OK,User Thread Group 1-26,text,true,,455,411,59,59,http://localhost:4000/transaction/getStockPrices,5,0,0
1743207350031,6,17 Add Money Request,200,OK,User Thread Group 1-15,text,true,,270,447,60,60,http://localhost:4000/transaction/addMoneyToWallet,6,0,0
1743207350031,8,14 Register Request,201,Created,User Thread Group 1-49,text,true,,263,291,60,60,http://localhost:4000/authentication/register,8,0,0
1743207350043,7,15 Login Request,200,OK,User Thread Group 1-38,text,true,,512,255,60,60,http://localhost:4000/authentication/login,7,0,0
1743207350075,9,14 Register Request,201,Created,User Thread Group 1-50,text,true,,263,272,61,61,http://localhost:4000/authentication/register,9,0,1
1743207350081,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-27,text,true,,455,407,61,61,http://localhost:4000/transaction/getStockPrices,6,0,0
1743207350092,5,15 Login Request,200,OK,User Thread Group 1-39,text,true,,500,258,61,61,http://localhost:4000/authentication/login,5,0,0
1743207350096,5,17 Add Money Request,200,OK,User Thread Group 1-16,text,true,,270,454,61,61,http://localhost:4000/transaction/addMoneyToWallet,5,0,0
1743207350106,5,16 Get Stock Prices Request,200,OK,User Thread Group 1-28,text,true,,455,415,61,61,http://localhost:4000/transaction/getStockPrices,5,0,0
1743207350116,5,17 Add Money Request,200,OK,User Thread Group 1-17,text,true,,270,449,62,62,http://localhost:4000/transaction/addMoneyToWallet,5,0,0
1743207350121,10,14 Register Request,201,Created,User Thread Group 1-51,text,true,,263,293,62,62,http://localhost:4000/authentication/register,10,0,1
1743207350140,5,15 Login Request,200,OK,User Thread Group 1-40,text,true,,500,241,62,62,http://localhost:4000/authentication/login,5,0,0
1743207350149,4,16 Get Stock Prices Request,200,OK,User Thread Group 1-29,text,true,,455,411,62,62,http://localhost:4000/transaction/getStockPrices,4,0,0
1743207350164,6,14 Register Request,201,Created,User Thread Group 1-52,text,true,,263,266,63,63,http://localhost:4000/authentication/register,6,0,1
1743207350180,11,15 Login Request,200,OK,User Thread Group 1-41,text,true,,512,265,63,63,http://localhost:4000/authentication/login,11,0,0
1743207350194,8,17 Add Money Request,200,OK,User Thread Group 1-18,text,true,,270,454,63,63,http://localhost:4000/transaction/addMoneyToWallet,8,0,0
1743207350194,11,16 Get Stock Prices Request,200,OK,User Thread Group 1-30,text,true,,455,406,64,64,http://localhost:4000/transaction/getStockPrices,11,0,0
1743207350208,8,14 Register Request,201,Created,User Thread Group 1-53,text,true,,263,287,64,64,http://localhost:4000/authentication/register,8,0,1
1743207350216,7,17 Add Money Request,200,OK,User Thread Group 1-19,text,true,,270,454,64,64,http://localhost:4000/transaction/addMoneyToWallet,7,0,0
1743207350224,6,15 Login Request,200,OK,User Thread Group 1-42,text,true,,511,257,64,64,http://localhost:4000/authentication/login,6,0,0
1743207350246,8,16 Get Stock Prices Request,200,OK,User Thread Group 1-31,text,true,,455,415,65,65,http://localhost:4000/transaction/getStockPrices,8,0,0
1743207350261,9,17 Add Money Request,200,OK,User Thread Group 1-20,text,true,,270,443,65,65,http://localhost:4000/transaction/addMoneyToWallet,9,0,0
1743207350254,22,14 Register Request,201,Created,User Thread Group 1-54,text,true,,263,287,65,65,http://localhost:4000/authentication/register,22,0,0
1743207350295,5,16 Get Stock Prices Request,200,OK,User Thread Group 1-32,text,true,,455,407,66,66,http://localhost:4000/transaction/getStockPrices,5,0,0
1743207350301,10,14 Register Request,201,Created,User Thread Group 1-55,text,true,,263,266,66,66,http://localhost:4000/authentication/register,10,0,0
1743207350282,30,15 Login Request,200,OK,User Thread Group 1-43,text,true,,511,254,66,66,http://localhost:4000/authentication/login,30,0,0
1743207350318,8,15 Login Request,200,OK,User Thread Group 1-44,text,true,,509,264,66,66,http://localhost:4000/authentication/login,8,0,0
1743207350328,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-33,text,true,,455,399,66,66,http://localhost:4000/transaction/getStockPrices,7,0,0
1743207350344,10,14 Register Request,201,Created,User Thread Group 1-56,text,true,,263,286,67,67,http://localhost:4000/authentication/register,10,0,2
1743207350360,6,15 Login Request,200,OK,User Thread Group 1-45,text,true,,509,256,67,67,http://localhost:4000/authentication/login,6,0,0
1743207350388,8,14 Register Request,201,Created,User Thread Group 1-57,text,true,,263,278,68,68,http://localhost:4000/authentication/register,8,0,1
1743207350384,13,16 Get Stock Prices Request,200,OK,User Thread Group 1-34,text,true,,455,404,68,68,http://localhost:4000/transaction/getStockPrices,13,0,0
1743207350420,6,18 Get Wallet Balance Request,200,OK,User Thread Group 1-9,text,true,,285,405,68,68,http://localhost:4000/transaction/getWalletBalance,6,0,0
1743207350414,12,17 Add Money Request,200,OK,User Thread Group 1-21,text,true,,270,451,68,68,http://localhost:4000/transaction/addMoneyToWallet,11,0,0
1743207350416,13,18 Get Wallet Balance Request,200,OK,User Thread Group 1-5,text,true,,285,417,69,69,http://localhost:4000/transaction/getWalletBalance,13,0,0
1743207350416,15,18 Get Wallet Balance Request,200,OK,User Thread Group 1-4,text,true,,285,409,69,69,http://localhost:4000/transaction/getWalletBalance,15,0,0
1743207350413,18,18 Get Wallet Balance Request,200,OK,User Thread Group 1-1,text,true,,285,416,69,69,http://localhost:4000/transaction/getWalletBalance,18,0,0
1743207350416,18,18 Get Wallet Balance Request,200,OK,User Thread Group 1-3,text,true,,285,409,69,69,http://localhost:4000/transaction/getWalletBalance,18,0,0
1743207350422,14,18 Get Wallet Balance Request,200,OK,User Thread Group 1-7,text,true,,285,410,69,69,http://localhost:4000/transaction/getWalletBalance,14,0,0
1743207350424,16,17 Add Money Request,200,OK,User Thread Group 1-23,text,true,,270,442,69,69,http://localhost:4000/transaction/addMoneyToWallet,16,0,0
1743207350432,17,18 Get Wallet Balance Request,200,OK,User Thread Group 1-6,text,true,,285,408,69,69,http://localhost:4000/transaction/getWalletBalance,16,0,0
1743207350434,15,18 Get Wallet Balance Request,200,OK,User Thread Group 1-8,text,true,,285,417,69,69,http://localhost:4000/transaction/getWalletBalance,15,0,0
1743207350436,13,18 Get Wallet Balance Request,200,OK,User Thread Group 1-11,text,true,,285,406,69,69,http://localhost:4000/transaction/getWalletBalance,13,0,0
1743207350432,17,18 Get Wallet Balance Request,200,OK,User Thread Group 1-10,text,true,,285,401,69,69,http://localhost:4000/transaction/getWalletBalance,17,0,0
1743207350437,14,17 Add Money Request,200,OK,User Thread Group 1-22,text,true,,270,447,69,69,http://localhost:4000/transaction/addMoneyToWallet,14,0,0
1743207350428,22,18 Get Wallet Balance Request,200,OK,User Thread Group 1-2,text,true,,285,416,69,69,http://localhost:4000/transaction/getWalletBalance,22,0,0
1743207350429,22,18 Get Wallet Balance Request,200,OK,User Thread Group 1-12,text,true,,285,412,69,69,http://localhost:4000/transaction/getWalletBalance,22,0,0
1743207350410,39,15 Login Request,200,OK,User Thread Group 1-46,text,true,,498,243,69,69,http://localhost:4000/authentication/login,39,0,0
1743207350435,18,16 Get Stock Prices Request,200,OK,User Thread Group 1-35,text,true,,455,400,69,69,http://localhost:4000/transaction/getStockPrices,18,0,0
1743207350440,17,17 Add Money Request,200,OK,User Thread Group 1-24,text,true,,270,451,69,69,http://localhost:4000/transaction/addMoneyToWallet,17,0,0
1743207350450,7,18 Get Wallet Balance Request,200,OK,User Thread Group 1-13,text,true,,285,406,69,69,http://localhost:4000/transaction/getWalletBalance,7,0,0
1743207350438,20,14 Register Request,201,Created,User Thread Group 1-58,text,true,,263,278,69,69,http://localhost:4000/authentication/register,20,0,0
1743207350449,12,15 Login Request,200,OK,User Thread Group 1-47,text,true,,512,257,69,69,http://localhost:4000/authentication/login,12,0,0
1743207350457,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-36,text,true,,455,412,69,69,http://localhost:4000/transaction/getStockPrices,7,0,0
1743207350479,10,14 Register Request,201,Created,User Thread Group 1-59,text,true,,263,291,70,70,http://localhost:4000/authentication/register,10,0,1
1743207350478,18,17 Add Money Request,200,OK,User Thread Group 1-25,text,true,,270,454,70,70,http://localhost:4000/transaction/addMoneyToWallet,18,0,0
1743207350493,6,15 Login Request,200,OK,User Thread Group 1-48,text,true,,503,261,70,70,http://localhost:4000/authentication/login,6,0,0
1743207350515,6,18 Get Wallet Balance Request,200,OK,User Thread Group 1-14,text,true,,285,417,71,71,http://localhost:4000/transaction/getWalletBalance,6,0,0
1743207350512,9,16 Get Stock Prices Request,200,OK,User Thread Group 1-37,text,true,,455,415,71,71,http://localhost:4000/transaction/getStockPrices,9,0,0
1743207350523,6,17 Add Money Request,200,OK,User Thread Group 1-26,text,true,,270,450,71,71,http://localhost:4000/transaction/addMoneyToWallet,6,0,0
1743207350525,11,14 Register Request,201,Created,User Thread Group 1-60,text,true,,263,284,71,71,http://localhost:4000/authentication/register,10,0,1
1743207350538,8,18 Get Wallet Balance Request,200,OK,User Thread Group 1-15,text,true,,285,410,71,71,http://localhost:4000/transaction/getWalletBalance,8,0,0
1743207350541,7,15 Login Request,200,OK,User Thread Group 1-49,text,true,,511,265,71,71,http://localhost:4000/authentication/login,7,0,0
1743207350551,7,16 Get Stock Prices Request,200,OK,User Thread Group 1-38,text,true,,455,415,71,71,http://localhost:4000/transaction/getStockPrices,7,0,0
1743207350571,9,14 Register Request,201,Created,User Thread Group 1-61,text,true,,263,290,72,72,http://localhost:4000/authentication/register,9,0,1
1743207350585,8,15 Login Request,200,OK,User Thread Group 1-50,text,true,,501,246,72,72,http://localhost:4000/authentication/login,8,0,0
1743207350589,9,17 Add Money Request,200,OK,User Thread Group 1-27,text,true,,270,446,72,72,http://localhost:4000/transaction/addMoneyToWallet,9,0,0
1743207350600,6,16 Get Stock Prices Request,200,OK,User Thread Group 1-39,text,true,,455,403,72,72,http://localhost:4000/transaction/getStockPrices,6,0,0
1743207350603,7,18 Get Wallet Balance Request,200,OK,User Thread Group 1-16,text,true,,285,417,73,73,http://localhost:4000/transaction/getWalletBalance,7,0,0
1743207350613,7,17 Add Money Request,200,OK,User Thread Group 1-28,text,true,,270,454,73,73,http://localhost:4000/transaction/addMoneyToWallet,7,0,0
1743207350618,7,14 Register Request,201,Created,User Thread Group 1-62,text,true,,263,272,73,73,http://localhost:4000/authentication/register,7,0,1
1743207350621,7,18 Get Wallet Balance Request,200,OK,User Thread Group 1-17,text,true,,285,412,73,73,http://localhost:4000/transaction/getWalletBalance,7,0,0
1743207350632,4,15 Login Request,200,OK,User Thread Group 1-51,text,true,,508,264,73,73,http://localhost:4000/authentication/login,4,0,0
1743207350646,11,16 Get Stock Prices Request,200,OK,User Thread Group 1-40,text,true,,455,403,74,74,http://localhost:4000/transaction/getStockPrices,11,0,0
1743207350654,9,17 Add Money Request,200,OK,User Thread Group 1-29,text,true,,270,450,74,74,http://localhost:4000/transaction/addMoneyToWallet,9,0,0
